Station,Date,On or Off,Time,Passenger
하단,20190106,승차,18,977
하단,20190106,승차,19,609
하단,20190106,승차,20,682
하단,20190106,승차,21,747
하단,20190106,승차,22,499
하단,20190106,승차,23,225
하단,20190106,하차,6,292
하단,20190106,하차,7,294
하단,20190106,하차,8,469
하단,20190106,하차,9,1103
하단,20190106,하차,10,955
하단,20190106,하차,11,746
하단,20190106,하차,12,674
하단,20190106,하차,13,914
하단,20190106,하차,14,955
하단,20190106,하차,15,1180
하단,20190106,하차,16,1103
하단,20190106,하차,17,1149
하단,20190106,하차,18,1049
하단,20190106,하차,19,843
하단,20190106,하차,20,754
하단,20190106,하차,21,608
하단,20190106,하차,22,457
하단,20190106,하차,23,233
하단,20190107,승차,6,425
하단,20190107,승차,7,1442
하단,20190107,승차,8,1893
하단,20190107,승차,9,1176
하단,20190107,승차,10,1208
하단,20190107,승차,11,1300
하단,20190107,승차,12,1247
하단,20190107,승차,13,1150
하단,20190107,승차,14,1072
하단,20190107,승차,15,1193
하단,20190107,승차,16,1404
하단,20190107,승차,17,1827
하단,20190107,승차,18,2199
하단,20190107,승차,19,1177
하단,20190107,승차,20,928
하단,20190107,승차,21,629
하단,20190107,승차,22,416
하단,20190107,승차,23,167
하단,20190107,하차,6,867
하단,20190107,하차,7,1465
하단,20190107,하차,8,1675
하단,20190107,하차,9,1119
하단,20190107,하차,10,945
하단,20190107,하차,11,875
하단,20190107,하차,12,885
하단,20190107,하차,13,1066
하단,20190107,하차,14,1071
하단,20190107,하차,15,1156
하단,20190107,하차,16,1168
하단,20190107,하차,17,1460
하단,20190107,하차,18,1950
하단,20190107,하차,19,1149
하단,20190107,하차,20,769
하단,20190107,하차,21,594
하단,20190107,하차,22,451
하단,20190107,하차,23,288
하단,20190108,승차,6,426
하단,20190108,승차,7,1399
하단,20190108,승차,8,1919
하단,20190108,승차,9,1143
하단,20190108,승차,10,1089
하단,20190108,승차,11,1113
하단,20190108,승차,12,1311
하단,20190108,승차,13,1222
하단,20190108,승차,14,1064
하단,20190108,승차,15,1238
하단,20190108,승차,16,1338
하단,20190108,승차,17,1862
하단,20190108,승차,18,2159
하단,20190108,승차,19,1148
하단,20190108,승차,20,955
하단,20190108,승차,21,722
하단,20190108,승차,22,439
하단,20190108,승차,23,162
하단,20190108,하차,6,875
하단,20190108,하차,7,1426
하단,20190108,하차,8,1416
하단,20190108,하차,9,1153
하단,20190108,하차,10,859
하단,20190108,하차,11,858
하단,20190108,하차,12,956
하단,20190108,하차,13,909
하단,20190108,하차,14,1078
하단,20190108,하차,15,1068
하단,20190108,하차,16,1136
하단,20190108,하차,17,1547
하단,20190108,하차,18,2032
하단,20190108,하차,19,1246
하단,20190108,하차,20,720
하단,20190108,하차,21,658
하단,20190108,하차,22,522
하단,20190108,하차,23,282
하단,20190109,승차,6,416
하단,20190109,승차,7,1358
하단,20190109,승차,8,1894
하단,20190109,승차,9,1119
하단,20190109,승차,10,939
하단,20190109,승차,11,1061
하단,20190109,승차,12,1204
하단,20190109,승차,13,1238
하단,20190109,승차,14,1650
하단,20190109,승차,15,1422
하단,20190109,승차,16,1417
하단,20190109,승차,17,1973
하단,20190109,승차,18,2241
하단,20190109,승차,19,1150
하단,20190109,승차,20,871
하단,20190109,승차,21,816
하단,20190109,승차,22,1145
하단,20190109,승차,23,471
하단,20190109,하차,6,863
하단,20190109,하차,7,1415
하단,20190109,하차,8,1413
하단,20190109,하차,9,1245
하단,20190109,하차,10,1074
하단,20190109,하차,11,1096
하단,20190109,하차,12,997
하단,20190109,하차,13,970
하단,20190109,하차,14,1061
하단,20190109,하차,15,1089
하단,20190109,하차,16,1218
하단,20190109,하차,17,1732
하단,20190109,하차,18,2702
하단,20190109,하차,19,1647
하단,20190109,하차,20,825
하단,20190109,하차,21,640
하단,20190109,하차,22,557
하단,20190109,하차,23,321
하단,20190110,승차,6,398
하단,20190110,승차,7,1376
하단,20190110,승차,8,1886
하단,20190110,승차,9,1187
하단,20190110,승차,10,1079
하단,20190110,승차,11,1162
하단,20190110,승차,12,1261
하단,20190110,승차,13,1252
하단,20190110,승차,14,1219
하단,20190110,승차,15,1158
하단,20190110,승차,16,1349
하단,20190110,승차,17,1914
하단,20190110,승차,18,2219
하단,20190110,승차,19,1221
하단,20190110,승차,20,969
하단,20190110,승차,21,744
하단,20190110,승차,22,518
하단,20190110,승차,23,201
하단,20190110,하차,6,923
하단,20190110,하차,7,1401
하단,20190110,하차,8,1401
하단,20190110,하차,9,1068
하단,20190110,하차,10,767
하단,20190110,하차,11,827
하단,20190110,하차,12,1025
하단,20190110,하차,13,974
하단,20190110,하차,14,1031
하단,20190110,하차,15,1163
하단,20190110,하차,16,1244
하단,20190110,하차,17,1539
하단,20190110,하차,18,2096
하단,20190110,하차,19,1244
하단,20190110,하차,20,805
하단,20190110,하차,21,684
하단,20190110,하차,22,560
하단,20190110,하차,23,320
하단,20190111,승차,6,394
하단,20190111,승차,7,1404
하단,20190111,승차,8,1951
하단,20190111,승차,9,1203
하단,20190111,승차,10,1065
하단,20190111,승차,11,1185
하단,20190111,승차,12,1266
하단,20190111,승차,13,1257
하단,20190111,승차,14,1171
하단,20190111,승차,15,1285
하단,20190111,승차,16,1559
하단,20190111,승차,17,2160
하단,20190111,승차,18,2675
하단,20190111,승차,19,1544
하단,20190111,승차,20,1043
하단,20190111,승차,21,851
하단,20190111,승차,22,620
하단,20190111,승차,23,239
하단,20190111,하차,6,877
하단,20190111,하차,7,1373
하단,20190111,하차,8,1395
하단,20190111,하차,9,1145
하단,20190111,하차,10,861
하단,20190111,하차,11,859
하단,20190111,하차,12,889
하단,20190111,하차,13,984
하단,20190111,하차,14,1095
하단,20190111,하차,15,1112
하단,20190111,하차,16,1274
하단,20190111,하차,17,1711
하단,20190111,하차,18,2182
하단,20190111,하차,19,1391
하단,20190111,하차,20,841
하단,20190111,하차,21,798
하단,20190111,하차,22,656
하단,20190111,하차,23,403
하단,20190112,승차,6,288
하단,20190112,승차,7,468
하단,20190112,승차,8,796
하단,20190112,승차,9,905
하단,20190112,승차,10,1081
하단,20190112,승차,11,1351
하단,20190112,승차,12,1650
하단,20190112,승차,13,1511
하단,20190112,승차,14,1378
하단,20190112,승차,15,1379
하단,20190112,승차,16,1543
하단,20190112,승차,17,1707
하단,20190112,승차,18,1276
하단,20190112,승차,19,916
하단,20190112,승차,20,730
하단,20190112,승차,21,647
하단,20190112,승차,22,547
하단,20190112,승차,23,208
하단,20190112,하차,6,533
하단,20190112,하차,7,533
하단,20190112,하차,8,667
하단,20190112,하차,9,1107
하단,20190112,하차,10,718
하단,20190112,하차,11,821
하단,20190112,하차,12,923
하단,20190112,하차,13,1180
하단,20190112,하차,14,977
하단,20190112,하차,15,1119
하단,20190112,하차,16,1298
하단,20190112,하차,17,1386
하단,20190112,하차,18,1408
하단,20190112,하차,19,1063
하단,20190112,하차,20,883
하단,20190112,하차,21,702
하단,20190112,하차,22,625
하단,20190112,하차,23,374
하단,20190113,승차,6,194
하단,20190113,승차,7,298
하단,20190113,승차,8,506
하단,20190113,승차,9,654
하단,20190113,승차,10,822
하단,20190113,승차,11,1016
하단,20190113,승차,12,1009
하단,20190113,승차,13,1119
하단,20190113,승차,14,1390
하단,20190113,승차,15,1401
하단,20190113,승차,16,1247
하단,20190113,승차,17,1154
하단,20190113,승차,18,1053
하단,20190113,승차,19,657
하단,20190113,승차,20,834
하단,20190113,승차,21,687
하단,20190113,승차,22,496
하단,20190113,승차,23,222
하단,20190113,하차,6,313
하단,20190113,하차,7,335
하단,20190113,하차,8,521
하단,20190113,하차,9,1145
하단,20190113,하차,10,987
하단,20190113,하차,11,803
하단,20190113,하차,12,699
하단,20190113,하차,13,881
하단,20190113,하차,14,976
하단,20190113,하차,15,1257
하단,20190113,하차,16,1225
하단,20190113,하차,17,1257
하단,20190113,하차,18,1009
하단,20190113,하차,19,853
하단,20190113,하차,20,751
하단,20190113,하차,21,646
하단,20190113,하차,22,488
하단,20190113,하차,23,308
하단,20190114,승차,6,408
하단,20190114,승차,7,1445
하단,20190114,승차,8,1960
하단,20190114,승차,9,1177
하단,20190114,승차,10,1143
하단,20190114,승차,11,1095
하단,20190114,승차,12,1203
하단,20190114,승차,13,1155
하단,20190114,승차,14,1032
하단,20190114,승차,15,1205
하단,20190114,승차,16,1377
하단,20190114,승차,17,1928
하단,20190114,승차,18,2207
하단,20190114,승차,19,1137
하단,20190114,승차,20,938
하단,20190114,승차,21,681
하단,20190114,승차,22,451
하단,20190114,승차,23,166
하단,20190114,하차,6,917
하단,20190114,하차,7,1455
하단,20190114,하차,8,1520
하단,20190114,하차,9,1089
하단,20190114,하차,10,852
하단,20190114,하차,11,812
하단,20190114,하차,12,939
하단,20190114,하차,13,1060
하단,20190114,하차,14,1123
하단,20190114,하차,15,1111
하단,20190114,하차,16,1188
하단,20190114,하차,17,1536
하단,20190114,하차,18,2013
하단,20190114,하차,19,1206
하단,20190114,하차,20,695
하단,20190114,하차,21,652
하단,20190114,하차,22,513
하단,20190114,하차,23,272
하단,20190115,승차,6,442
하단,20190115,승차,7,1464
하단,20190115,승차,8,1895
하단,20190115,승차,9,1200
하단,20190115,승차,10,1057
하단,20190115,승차,11,1097
하단,20190115,승차,12,1195
하단,20190115,승차,13,1181
하단,20190115,승차,14,1069
하단,20190115,승차,15,1161
하단,20190115,승차,16,1452
하단,20190115,승차,17,1892
하단,20190115,승차,18,2176
하단,20190115,승차,19,1142
하단,20190115,승차,20,1046
하단,20190115,승차,21,763
하단,20190115,승차,22,500
하단,20190115,승차,23,177
하단,20190115,하차,6,883
하단,20190115,하차,7,1470
하단,20190115,하차,8,1380
하단,20190115,하차,9,1088
하단,20190115,하차,10,802
하단,20190115,하차,11,817
하단,20190115,하차,12,922
하단,20190115,하차,13,1059
하단,20190115,하차,14,1009
하단,20190115,하차,15,1121
하단,20190115,하차,16,1219
하단,20190115,하차,17,1558
하단,20190115,하차,18,2126
하단,20190115,하차,19,1165
하단,20190115,하차,20,725
하단,20190115,하차,21,679
하단,20190115,하차,22,548
하단,20190115,하차,23,306
하단,20190116,승차,6,421
하단,20190116,승차,7,1412
하단,20190116,승차,8,1942
하단,20190116,승차,9,1161
하단,20190116,승차,10,1056
하단,20190116,승차,11,1070
하단,20190116,승차,12,1146
하단,20190116,승차,13,1186
하단,20190116,승차,14,1587
하단,20190116,승차,15,1357
하단,20190116,승차,16,1511
하단,20190116,승차,17,1922
하단,20190116,승차,18,2311
하단,20190116,승차,19,1246
하단,20190116,승차,20,880
하단,20190116,승차,21,724
하단,20190116,승차,22,1237
하단,20190116,승차,23,411
하단,20190116,하차,6,943
하단,20190116,하차,7,1454
하단,20190116,하차,8,1500
하단,20190116,하차,9,1275
하단,20190116,하차,10,1016
하단,20190116,하차,11,1112
하단,20190116,하차,12,816
하단,20190116,하차,13,1120
하단,20190116,하차,14,989
하단,20190116,하차,15,1132
하단,20190116,하차,16,1328
하단,20190116,하차,17,1660
하단,20190116,하차,18,2676
하단,20190116,하차,19,1659
하단,20190116,하차,20,808
하단,20190116,하차,21,671
하단,20190116,하차,22,543
하단,20190116,하차,23,327
하단,20190117,승차,6,396
하단,20190117,승차,7,1419
하단,20190117,승차,8,1861
하단,20190117,승차,9,1160
하단,20190117,승차,10,1046
하단,20190117,승차,11,1065
하단,20190117,승차,12,1233
하단,20190117,승차,13,1130
하단,20190117,승차,14,1154
하단,20190117,승차,15,1170
하단,20190117,승차,16,1385
하단,20190117,승차,17,1920
하단,20190117,승차,18,2170
하단,20190117,승차,19,1250
하단,20190117,승차,20,1003
하단,20190117,승차,21,833
하단,20190117,승차,22,509
하단,20190117,승차,23,206
하단,20190117,하차,6,877
하단,20190117,하차,7,1415
하단,20190117,하차,8,1379
하단,20190117,하차,9,1120
하단,20190117,하차,10,821
하단,20190117,하차,11,845
하단,20190117,하차,12,941
하단,20190117,하차,13,1000
하단,20190117,하차,14,1104
하단,20190117,하차,15,1113
하단,20190117,하차,16,1125
하단,20190117,하차,17,1444
하단,20190117,하차,18,2033
하단,20190117,하차,19,1209
하단,20190117,하차,20,771
하단,20190117,하차,21,674
하단,20190117,하차,22,557
하단,20190117,하차,23,346
하단,20190118,승차,6,402
하단,20190118,승차,7,1377
하단,20190118,승차,8,1811
하단,20190118,승차,9,1136
하단,20190118,승차,10,1008
하단,20190118,승차,11,1122
하단,20190118,승차,12,1267
하단,20190118,승차,13,1236
하단,20190118,승차,14,1195
하단,20190118,승차,15,1362
하단,20190118,승차,16,1443
하단,20190118,승차,17,2104
하단,20190118,승차,18,2529
하단,20190118,승차,19,1522
하단,20190118,승차,20,1075
하단,20190118,승차,21,782
하단,20190118,승차,22,640
하단,20190118,승차,23,254
하단,20190118,하차,6,863
하단,20190118,하차,7,1435
하단,20190118,하차,8,1345
하단,20190118,하차,9,1153
하단,20190118,하차,10,811
하단,20190118,하차,11,832
하단,20190118,하차,12,936
하단,20190118,하차,13,1053
하단,20190118,하차,14,1083
하단,20190118,하차,15,1058
하단,20190118,하차,16,1250
하단,20190118,하차,17,1538
하단,20190118,하차,18,2210
하단,20190118,하차,19,1411
하단,20190118,하차,20,927
하단,20190118,하차,21,751
하단,20190118,하차,22,683
하단,20190118,하차,23,435
하단,20190119,승차,6,284
하단,20190119,승차,7,480
하단,20190119,승차,8,880
하단,20190119,승차,9,997
하단,20190119,승차,10,1083
하단,20190119,승차,11,1365
하단,20190119,승차,12,1579
하단,20190119,승차,13,1535
하단,20190119,승차,14,1426
하단,20190119,승차,15,1446
하단,20190119,승차,16,1649
하단,20190119,승차,17,1823
하단,20190119,승차,18,1415
하단,20190119,승차,19,883
하단,20190119,승차,20,675
하단,20190119,승차,21,717
하단,20190119,승차,22,464
하단,20190119,승차,23,194
하단,20190119,하차,6,591
하단,20190119,하차,7,574
하단,20190119,하차,8,688
하단,20190119,하차,9,1108
하단,20190119,하차,10,745
하단,20190119,하차,11,927
하단,20190119,하차,12,947
하단,20190119,하차,13,1093
하단,20190119,하차,14,1071
하단,20190119,하차,15,1226
하단,20190119,하차,16,1277
하단,20190119,하차,17,1399
하단,20190119,하차,18,1392
하단,20190119,하차,19,1095
하단,20190119,하차,20,873
하단,20190119,하차,21,777
하단,20190119,하차,22,610
하단,20190119,하차,23,398
하단,20190120,승차,6,215
하단,20190120,승차,7,285
하단,20190120,승차,8,518
하단,20190120,승차,9,671
하단,20190120,승차,10,828
하단,20190120,승차,11,962
하단,20190120,승차,12,1016
하단,20190120,승차,13,1058
하단,20190120,승차,14,1337
하단,20190120,승차,15,1534
하단,20190120,승차,16,1354
하단,20190120,승차,17,1201
하단,20190120,승차,18,903
하단,20190120,승차,19,684
하단,20190120,승차,20,758
하단,20190120,승차,21,747
하단,20190120,승차,22,468
하단,20190120,승차,23,227
하단,20190120,하차,6,306
하단,20190120,하차,7,359
하단,20190120,하차,8,479
하단,20190120,하차,9,1079
하단,20190120,하차,10,976
하단,20190120,하차,11,800
하단,20190120,하차,12,747
하단,20190120,하차,13,871
하단,20190120,하차,14,1078
하단,20190120,하차,15,1172
하단,20190120,하차,16,1161
하단,20190120,하차,17,1271
하단,20190120,하차,18,1060
하단,20190120,하차,19,910
하단,20190120,하차,20,746
하단,20190120,하차,21,595
하단,20190120,하차,22,447
하단,20190120,하차,23,277
하단,20190121,승차,6,435
하단,20190121,승차,7,1462
하단,20190121,승차,8,1889
하단,20190121,승차,9,1195
하단,20190121,승차,10,1214
하단,20190121,승차,11,1204
하단,20190121,승차,12,1178
하단,20190121,승차,13,1143
하단,20190121,승차,14,1068
하단,20190121,승차,15,1236
하단,20190121,승차,16,1233
하단,20190121,승차,17,1805
하단,20190121,승차,18,2333
하단,20190121,승차,19,1207
하단,20190121,승차,20,948
하단,20190121,승차,21,715
하단,20190121,승차,22,439
하단,20190121,승차,23,158
하단,20190121,하차,6,931
하단,20190121,하차,7,1439
하단,20190121,하차,8,1585
하단,20190121,하차,9,1142
하단,20190121,하차,10,913
하단,20190121,하차,11,830
하단,20190121,하차,12,937
하단,20190121,하차,13,997
하단,20190121,하차,14,1021
하단,20190121,하차,15,1115
하단,20190121,하차,16,1292
하단,20190121,하차,17,1467
하단,20190121,하차,18,1978
하단,20190121,하차,19,1150
하단,20190121,하차,20,705
하단,20190121,하차,21,622
하단,20190121,하차,22,493
하단,20190121,하차,23,290
하단,20190122,승차,6,384
하단,20190122,승차,7,1376
하단,20190122,승차,8,1966
하단,20190122,승차,9,1165
하단,20190122,승차,10,1050
하단,20190122,승차,11,1088
하단,20190122,승차,12,1204
하단,20190122,승차,13,1124
하단,20190122,승차,14,1129
하단,20190122,승차,15,1211
하단,20190122,승차,16,1327
하단,20190122,승차,17,1886
하단,20190122,승차,18,2154
하단,20190122,승차,19,1211
하단,20190122,승차,20,979
하단,20190122,승차,21,743
하단,20190122,승차,22,452
하단,20190122,승차,23,150
하단,20190122,하차,6,897
하단,20190122,하차,7,1399
하단,20190122,하차,8,1363
하단,20190122,하차,9,1021
하단,20190122,하차,10,842
하단,20190122,하차,11,831
하단,20190122,하차,12,988
하단,20190122,하차,13,1039
하단,20190122,하차,14,1128
하단,20190122,하차,15,1122
하단,20190122,하차,16,1190
하단,20190122,하차,17,1459
하단,20190122,하차,18,2080
하단,20190122,하차,19,1183
하단,20190122,하차,20,748
하단,20190122,하차,21,688
하단,20190122,하차,22,521
하단,20190122,하차,23,278
하단,20190123,승차,6,401
하단,20190123,승차,7,1474
하단,20190123,승차,8,1836
하단,20190123,승차,9,1207
하단,20190123,승차,10,1033
하단,20190123,승차,11,1139
하단,20190123,승차,12,1116
하단,20190123,승차,13,1117
하단,20190123,승차,14,1539
하단,20190123,승차,15,1470
하단,20190123,승차,16,1404
하단,20190123,승차,17,1900
하단,20190123,승차,18,2436
하단,20190123,승차,19,1228
하단,20190123,승차,20,959
하단,20190123,승차,21,786
하단,20190123,승차,22,1180
하단,20190123,승차,23,458
하단,20190123,하차,6,926
하단,20190123,하차,7,1437
하단,20190123,하차,8,1339
하단,20190123,하차,9,1178
하단,20190123,하차,10,1063
하단,20190123,하차,11,1159
하단,20190123,하차,12,942
하단,20190123,하차,13,1077
하단,20190123,하차,14,1027
하단,20190123,하차,15,1121
하단,20190123,하차,16,1278
하단,20190123,하차,17,1781
하단,20190123,하차,18,2637
하단,20190123,하차,19,1732
하단,20190123,하차,20,800
하단,20190123,하차,21,663
하단,20190123,하차,22,576
하단,20190123,하차,23,315
하단,20190124,승차,6,400
하단,20190124,승차,7,1452
하단,20190124,승차,8,1882
하단,20190124,승차,9,1114
하단,20190124,승차,10,993
하단,20190124,승차,11,1112
하단,20190124,승차,12,1110
하단,20190124,승차,13,1145
하단,20190124,승차,14,1134
하단,20190124,승차,15,1148
하단,20190124,승차,16,1381
하단,20190124,승차,17,1896
하단,20190124,승차,18,2198
하단,20190124,승차,19,1184
하단,20190124,승차,20,1090
하단,20190124,승차,21,778
하단,20190124,승차,22,482
하단,20190124,승차,23,197
하단,20190124,하차,6,893
하단,20190124,하차,7,1486
하단,20190124,하차,8,1313
하단,20190124,하차,9,1088
하단,20190124,하차,10,783
하단,20190124,하차,11,798
하단,20190124,하차,12,871
하단,20190124,하차,13,1007
하단,20190124,하차,14,963
하단,20190124,하차,15,1083
하단,20190124,하차,16,1240
하단,20190124,하차,17,1615
하단,20190124,하차,18,2018
하단,20190124,하차,19,1277
하단,20190124,하차,20,781
하단,20190124,하차,21,749
하단,20190124,하차,22,542
하단,20190124,하차,23,353
하단,20190125,승차,6,396
하단,20190125,승차,7,1366
하단,20190125,승차,8,1869
하단,20190125,승차,9,1148
하단,20190125,승차,10,1034
하단,20190125,승차,11,1186
하단,20190125,승차,12,1270
하단,20190125,승차,13,1183
하단,20190125,승차,14,1131
하단,20190125,승차,15,1266
하단,20190125,승차,16,1476
하단,20190125,승차,17,2096
하단,20190125,승차,18,2525
하단,20190125,승차,19,1637
하단,20190125,승차,20,1167
하단,20190125,승차,21,829
하단,20190125,승차,22,555
하단,20190125,승차,23,254
